Código,Nome,Preço,@Imagem
"258263,BERLOQUE PRATA 925 CORAÇÃO PATA DE CACHORRO E OSSO,""R$ 159,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258263-5.jpg"
"258268,SEPARADOR PRATA 925 BALÃO COM ESCRITA LOVE,""R$ 139,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258268-1.jpg"
"258274,BERLOQUE PRATA 925 CORAÇÃO SÍMBOLO DO AUTISMO,""R$ 139,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258274-1.jpg"
"258306,TRAVA DE SEGURANÇA PRATA 925 REDONDO CRAVEJAD0,""R$ 299,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258306-1.jpg"
"258318,TRAVA DE SEGURANÇA PRATA 925 FLOR CRAVEJADO,""R$ 159,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258318-1.jpg"
"258361,BRACELETE PRATA 925 REGULÁVEL DUAS PONTAS CURVADA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258361-1.jpg"
"258362,BRACELETE PRATA 925 REGULÁVEL DUAS PONTAS COM BOLINHA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258362-1.jpg"
"258364,PULSEIRA PRATA 925 PÉROLA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258364-1.jpg"
"258365,COLAR PRATA 925 PÉROLA,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258365-1.jpg"
"258366,COLAR PRATA 925 ESPÍRITO SANTO,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258366-1.jpg"
"258367,BRINCO PRATA 925 GOTA RENDA ITALIANA,""R$ 99,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258367-1.jpg"
"258368,BRINCO PRATA 925 DOIS CORAÇÕES RENDA ITALIANA,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258368-1.jpg"
"258369,PINGENTE PRATA 925 CRUCIFIXO TRABALHADO,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258369-1.jpg"
